segment_id,size,crop,language,channel,product,llm_prompt,cta_type
SEG_0000,226,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Rajasthan. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0001,192,wheat,Bengali,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in West Bengal. Write in Bengali. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0002,216,wheat,Kannada,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Karnataka. Write in Kannada. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0003,272,wheat,Gujarati,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Gujarat. Write in Gujarati. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0004,66,wheat,Marathi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0005,69,wheat,Gujarati,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Gujarat. Write in Gujarati. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0006,47,wheat,Kannada,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Karnataka. Write in Kannada. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0007,98,wheat,Punjabi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0008,81,wheat,Kannada,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Kannada for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0009,59,wheat,Bengali,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in West Bengal. Write in Bengali. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0010,472,wheat,Hindi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Uttar Pradesh. Write in Hindi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0011,141,wheat,Gujarati,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Gujarati for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0012,80,wheat,Bengali,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Bengali for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0013,127,wheat,Marathi,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Marathi for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0014,177,wheat,Punjabi,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Punjabi for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0015,915,wheat,Hindi,ivr_voice,Topik 15 WP,"Write a 30-second IVR voice call script in Hindi for a wheat farmer. Warn about yellow rust fungal disease (Puccinia striiformis). Recommend Topik 15 WP. End with: 'Press 1 to connect with your dealer.' Natural spoken language only, no formatting symbols.",press_1
SEG_0016,48,chickpea,Marathi,whatsapp_rich,Actara 25 WG,"You are an agricultural expert writing a WhatsApp message for a chickpea farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about pod borer (Helicoverpa armigera) risk. Recommend Actara 25 WG by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0017,64,safflower,Marathi,whatsapp_rich,Score 250 EC,"You are an agricultural expert writing a WhatsApp message for a safflower farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about Alternaria leaf spot risk. Recommend Score 250 EC by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0018,54,wheat,Marathi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Maharashtra. Write in Marathi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0019,58,potato,Punjabi,whatsapp_rich,Kavach 75 WP,"You are an agricultural expert writing a WhatsApp message for a potato farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about late blight (Phytophthora infestans) risk. Recommend Kavach 75 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
SEG_0020,71,wheat,Punjabi,whatsapp_rich,Topik 15 WP,"You are an agricultural expert writing a WhatsApp message for a wheat farmer in Punjab. Write in Punjabi. The message must be under 1024 characters. Alert the farmer about yellow rust fungal disease (Puccinia striiformis) risk. Recommend Topik 15 WP by Syngenta. Use friendly, local tone. Include one emoji. End with: 'Reply YES for more info.'",tap_link
